Organization Name,Organization Name URL,Industries,Headquarters Location,Description,Industry Groups,CB Rank (Company)
Oura,https://www.crunchbase.com/organization/Ōura,"Consumer Electronics, Health Care, Wearables, Wellness","Oulu, Oulu, Finland",Oura designs and develops wearable rings that track sleep and performance metrics for health and wellness monitoring.,"Consumer Electronics, Hardware, Health Care",24
Spring Health,https://www.crunchbase.com/organization/spring-care,"Artificial Intelligence (AI), Health Care, Mental Health, mHealth, Wellness","New York, New York, United States",Spring Health provides mental health solution for employers and health plans.,"Artificial Intelligence (AI), Data and Analytics, Health Care, Mobile, Science and Engineering, Software",42
Omada Health,https://www.crunchbase.com/organization/omada-health,"Health Care, Medical, Therapeutics, Wellness","San Francisco, California, United States",Omada Health is a digital behavioral medicine company that helps members change their mindsets to improve health and build lasting change.,Health Care,292
Talkspace,https://www.crunchbase.com/organization/talkspace,"Consulting, Health Care, Mental Health, mHealth, Therapeutics","New York, New York, United States","Talkspace is a digital therapy company that offers online therapy, online counseling, psychiatry and medication management, and self-care.","Health Care, Mobile, Professional Services",324
Amae Health,https://www.crunchbase.com/organization/amae-health,"Health Care, Medical, Mental Health","San Francisco, California, United States",Amae Health specializes in integrated outpatient care for individuals with severe mental illness.,Health Care,338
Eight Sleep,https://www.crunchbase.com/organization/eight-sleep,"Consumer Electronics, Health Care, Wellness","New York, New York, United States","Eight Sleep develops a smart sleep system that dynamically adjusts temperature, elevation, and sound.","Consumer Electronics, Hardware, Health Care",363
Rain,https://www.crunchbase.com/organization/rain-082b,"Employee Benefits, Financial Services, FinTech, Payments","Nashville, Tennessee, United States",Rain offers early wage access and financial wellness benefit for mid-market to enterprise employers.,"Administrative Services, Financial Services, Health Care, Payments",374
WellTheory,https://www.crunchbase.com/organization/welltheory,"Artificial Intelligence (AI), Health Care, Medical, Personal Health, Wellness","Atherton, California, United States",WellTheory is a virtual care platform providing autoimmune and inflammatory conditions care services.,"Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software",383
Nest Health,https://www.crunchbase.com/organization/nest-health,"Child Care, Medical, Mental Health, Wellness","New Orleans, Louisiana, United States","Nest Health is a healthcare platform that provides home and virtual visits for primary care, pediatric care, and mental health services.",Health Care,399
ByHeart,https://www.crunchbase.com/organization/byheart-a794,"Biotechnology, Health Care, Nutrition, Wellness","New York, New York, United States",ByHeart is a baby nutrition company with FDA-registered infant formula.,"Biotechnology, Food and Beverage, Health Care, Science and Engineering",502
SavvyMoney,https://www.crunchbase.com/organization/savvymoney-inc,"Credit Bureau, Credit Cards, Finance, Financial Services, FinTech","Dublin, California, United States",SavvyMoney is a fintech platform that partners with banks to provide their customers with free credit scores and financial wellness tools.,"Financial Services, Lending and Investments, Payments",582
Nykaa,https://www.crunchbase.com/organization/nykaa,"Beauty, E-Commerce, Fashion, Lifestyle, Wellness","Mumbai, Maharashtra, India",Nykaa is an online marketplace for different beauty and wellness products.,"Clothing and Apparel, Commerce and Shopping, Community and Lifestyle, Consumer Goods, Design, Health Care",586
Carrot Fertility,https://www.crunchbase.com/organization/carrot-fertility,"Employee Benefits, Fertility, Health Care, Wellness","Menlo Park, California, United States",Carrot Fertility is a fertility healthcare company for employers and health plans.,"Administrative Services, Health Care",606
Talkiatry,https://www.crunchbase.com/organization/talkiatry,"Health Care, Medical, Mental Health, mHealth, Wellness","New York, New York, United States","Talkiatry provides virtual mental healthcare covered by insurance, connecting patients with licensed psychiatrists.","Health Care, Mobile",610
Withings,https://www.crunchbase.com/organization/withings,"Apps, Consumer Electronics, Health Care, Software, Wellness","Issy-les-moulineaux, Ile-de-France, France",Withings is a developer of digital health and wellness smart devices such as fitness trackers and watches.,"Apps, Consumer Electronics, Hardware, Health Care, Software",635
Hims & Hers,https://www.crunchbase.com/organization/hims,"Health Care, Lifestyle, Men's, Wellness, Women's","San Francisco, California, United States","Hims is a wellness brand that helps men and women get access to products for skin care, hair loss, and sexual health.","Community and Lifestyle, Health Care",639
Sweatpals,https://www.crunchbase.com/organization/sweatpals,"Communities, Fitness, Mobile Apps, Web Apps, Wellness","Austin, Texas, United States",Sweatpals is a fitness experience marketplace and is pioneering what it coined as the 'Daylife' movement.,"Apps, Community and Lifestyle, Health Care, Mobile, Software, Sports",651
